Año;CCAA;PIB_anual;PIB_capita;Renta media por persona (con alquiler imputado);Renta media por unidad de consumo;Renta media por unidad de consumo (con alquiler imputado);Renta neta media por persona;Total_paro;busquedas_running
2012;LaRioja;7.669;23.961;12.831;16.102;18.219;11.27;20.54;40.0
2012;LaRioja;7.669;23.961;12.831;16.102;18.219;11.27;22.81;40.0
2012;LaRioja;7.669;23.961;12.831;16.102;18.219;11.27;20.1;40.0
2012;Melilla;1.326;16.035;12.867;19.011;20.681;11.761;26.41;
2012;Melilla;1.326;16.035;12.867;19.011;20.681;11.761;29.06;
2012;Melilla;1.326;16.035;12.867;19.011;20.681;11.761;28.59;
2012;Melilla;1.326;16.035;12.867;19.011;20.681;11.761;23.37;
2012;Navarra;17.378;27.184;15.609;20.918;23.108;14.041;17.17;58.0
2012;Navarra;17.378;27.184;15.609;20.918;23.108;14.041;14.97;58.0
2012;Navarra;17.378;27.184;15.609;20.918;23.108;14.041;16.3;58.0
2012;Navarra;17.378;27.184;15.609;20.918;23.108;14.041;16.21;58.0
2012;PaisVasco;62.343;28.589;15.871;20.474;23.258;13.857;16.6;52.0
2012;PaisVasco;62.343;28.589;15.871;20.474;23.258;13.857;16.25;52.0
2012;PaisVasco;62.343;28.589;15.871;20.474;23.258;13.857;15.29;52.0
2012;PaisVasco;62.343;28.589;15.871;20.474;23.258;13.857;14.25;52.0
2012;Murcia;26.951;18.444;9.727;12.891;14.683;8.474;29.37;58.0
2012;Murcia;26.951;18.444;9.727;12.891;14.683;8.474;28.34;58.0
2012;Murcia;26.951;18.444;9.727;12.891;14.683;8.474;26.07;58.0
2012;Murcia;26.951;18.444;9.727;12.891;14.683;8.474;26.68;58.0
2013;Andalucia;137.294;16.381;9.783;12.705;14.694;8.408;36.26;58.0
2013;Andalucia;137.294;16.381;9.783;12.705;14.694;8.408;36.19;58.0
2013;Andalucia;137.294;16.381;9.783;12.705;14.694;8.408;35.67;58.0
2013;Andalucia;137.294;16.381;9.783;12.705;14.694;8.408;36.77;58.0
2013;Aragon;32.324;24.232;13.479;17.618;19.64;12.022;20.59;73.0
2013;Aragon;32.324;24.232;13.479;17.618;19.64;12.022;20.38;73.0
2013;Aragon;32.324;24.232;13.479;17.618;19.64;12.022;22.04;73.0
2013;Aragon;32.324;24.232;13.479;17.618;19.64;12.022;22.52;73.0
2013;Asturias;20.694;19.475;12.811;15.994;18.174;11.211;22.29;64.0
2013;Asturias;20.694;19.475;12.811;15.994;18.174;11.211;24.15;64.0
2013;Asturias;20.694;19.475;12.811;15.994;18.174;11.211;24.56;64.0
2013;Asturias;20.694;19.475;12.811;15.994;18.174;11.211;25.51;64.0
2013;Canarias;38.067;18.16;9.934;12.688;14.711;8.513;33.09;56.0
2013;Canarias;38.067;18.16;9.934;12.688;14.711;8.513;34.76;56.0
2013;Canarias;38.067;18.16;9.934;12.688;14.711;8.513;33.33;56.0
2013;Canarias;38.067;18.16;9.934;12.688;14.711;8.513;33.74;56.0
2013;Cantabria;11.944;20.299;11.48;14.426;16.665;9.843;19.81;75.0
2013;Cantabria;11.944;20.299;11.48;14.426;16.665;9.843;18.84;75.0
2013;Cantabria;11.944;20.299;11.48;14.426;16.665;9.843;22.28;75.0
2013;Cantabria;11.944;20.299;11.48;14.426;16.665;9.843;20.86;75.0
2013;CastillaLeon;51.28;20.474;12.235;15.743;17.781;10.76;22.02;78.0
2013;CastillaLeon;51.28;20.474;12.235;15.743;17.781;10.76;20.91;78.0
2013;CastillaLeon;51.28;20.474;12.235;15.743;17.781;10.76;21.34;78.0
2013;CastillaLeon;51.28;20.474;12.235;15.743;17.781;10.76;22.72;78.0
2013;CastillaLaMancha;36.911;17.72;9.666;12.673;14.446;8.425;28.99;62.0
2013;CastillaLaMancha;36.911;17.72;9.666;12.673;14.446;8.425;29.41;62.0
2013;CastillaLaMancha;36.911;17.72;9.666;12.673;14.446;8.425;30.23;62.0
2013;CastillaLaMancha;36.911;17.72;9.666;12.673;14.446;8.425;31.24;62.0
2013;Catalunya;193.329;25.928;13.568;17.883;19.903;12.111;21.87;100.0
2013;Catalunya;193.329;25.928;13.568;17.883;19.903;12.111;22.55;100.0
2013;Catalunya;193.329;25.928;13.568;17.883;19.903;12.111;23.61;100.0
2013;Catalunya;193.329;25.928;13.568;17.883;19.903;12.111;24.45;100.0
2013;Ceuta;1.455;17.229;10.676;14.686;16.728;9.336;36.78;
2013;Ceuta;1.455;17.229;10.676;14.686;16.728;9.336;30.96;
2013;Ceuta;1.455;17.229;10.676;14.686;16.728;9.336;33.91;
2013;Ceuta;1.455;17.229;10.676;14.686;16.728;9.336;37.51;
2013;ComunidadValenciana;95.11;19.137;10.877;13.881;15.974;9.375;27.15;97.0
2013;ComunidadValenciana;95.11;19.137;10.877;13.881;15.974;9.375;27.7;97.0
2013;ComunidadValenciana;95.11;19.137;10.877;13.881;15.974;9.375;28.62;97.0
2013;ComunidadValenciana;95.11;19.137;10.877;13.881;15.974;9.375;28.73;97.0
2013;Madrid;193.345;30.264;14.403;19.124;21.327;12.823;20.45;70.0
2013;Madrid;193.345;30.264;14.403;19.124;21.327;12.823;19.41;70.0
2013;Madrid;193.345;30.264;14.403;19.124;21.327;12.823;19.2;70.0
2013;Madrid;193.345;30.264;14.403;19.124;21.327;12.823;19.99;70.0
2013;Extremadura;17.606;16.028;9.557;12.139;14.025;8.224;32.4;56.0
2013;Extremadura;17.606;16.028;9.557;12.139;14.025;8.224;33.33;56.0
2013;Extremadura;17.606;16.028;9.557;12.139;14.025;8.224;34.07;56.0
2013;Extremadura;17.606;16.028;9.557;12.139;14.025;8.224;35.67;56.0
2013;Galicia;54.039;19.636;11.535;15.037;17.051;10.106;21.88;58.0
2013;Galicia;54.039;19.636;11.535;15.037;17.051;10.106;21.62;58.0
2013;Galicia;54.039;19.636;11.535;15.037;17.051;10.106;22.41;58.0
2013;Galicia;54.039;19.636;11.535;15.037;17.051;10.106;22.26;58.0
2013;Baleares;26.228;23.719;11.653;15.427;17.187;10.386;22.72;71.0
2013;Baleares;26.228;23.719;11.653;15.427;17.187;10.386;16.93;71.0
2013;Baleares;26.228;23.719;11.653;15.427;17.187;10.386;21.14;71.0
2013;Baleares;26.228;23.719;11.653;15.427;17.187;10.386;28.55;71.0
2013;LaRioja;7.581;23.898;12.245;15.321;17.437;10.686;20.24;56.0
2013;LaRioja;7.581;23.898;12.245;15.321;17.437;10.686;19.7;56.0
2013;LaRioja;7.581;23.898;12.245;15.321;17.437;10.686;20.94;56.0
2013;LaRioja;7.581;23.898;12.245;15.321;17.437;10.686;19.26;56.0
2013;Melilla;1.339;15.981;12.564;17.898;19.814;11.313;33.79;98.0
2013;Melilla;1.339;15.981;12.564;17.898;19.814;11.313;39.19;98.0
2013;Melilla;1.339;15.981;12.564;17.898;19.814;11.313;27.8;98.0
2013;Melilla;1.339;15.981;12.564;17.898;19.814;11.313;28.85;98.0
2013;Navarra;17.347;27.213;15.2;20.191;22.421;13.608;16.44;85.0
2013;Navarra;17.347;27.213;15.2;20.191;22.421;13.608;17.92;85.0
2013;Navarra;17.347;27.213;15.2;20.191;22.421;13.608;18.4;85.0
2013;Navarra;17.347;27.213;15.2;20.191;22.421;13.608;18.96;85.0
2013;PaisVasco;61.497;28.277;16.206;20.955;23.584;14.312;16.58;74.0
2013;PaisVasco;61.497;28.277;16.206;20.955;23.584;14.312;16.45;74.0
2013;PaisVasco;61.497;28.277;16.206;20.955;23.584;14.312;16.18;74.0
2013;PaisVasco;61.497;28.277;16.206;20.955;23.584;14.312;17.08;74.0
2013;Murcia;27.047;18.502;9.489;12.487;14.284;8.253;28.5;80.0
2013;Murcia;27.047;18.502;9.489;12.487;14.284;8.253;28.72;80.0
2013;Murcia;27.047;18.502;9.489;12.487;14.284;8.253;28.79;80.0
2013;Murcia;27.047;18.502;9.489;12.487;14.284;8.253;29.91;80.0
2014;Andalucia;139.135;16.6;9.59;12.118;14.294;8.079;34.23;73.0
2014;Andalucia;139.135;16.6;9.59;12.118;14.294;8.079;35.21;73.0
2014;Andalucia;139.135;16.6;9.59;12.118;14.294;8.079;34.74;73.0
2014;Andalucia;139.135;16.6;9.59;12.118;14.294;8.079;34.94;73.0
2014;Aragon;32.602;24.557;13.717;17.662;19.973;12.037;18.65;94.0
2014;Aragon;32.602;24.557;13.717;17.662;19.973;12.037;18.36;94.0
2014;Aragon;32.602;24.557;13.717;17.662;19.973;12.037;20.83;94.0
2014;Aragon;32.602;24.557;13.717;17.662;19.973;12.037;22.85;94.0
2014;Asturias;20.636;19.588;13.02;16.011;18.391;11.251;20.78;86.0
2014;Asturias;20.636;19.588;13.02;16.011;18.391;11.251;19.96;86.0
2014;Asturias;20.636;19.588;13.02;16.011;18.391;11.251;21.02;86.0
2014;Asturias;20.636;19.588;13.02;16.011;18.391;11.251;22.75;86.0
2014;Canarias;38.313;18.268;9.884;12.505;14.763;8.302;31.08;62.0
2014;Canarias;38.313;18.268;9.884;12.505;14.763;8.302;33.36;62.0
2014;Canarias;38.313;18.268;9.884;12.505;14.763;8.302;32.68;62.0
2014;Canarias;38.313;18.268;9.884;12.505;14.763;8.302;32.55;62.0
2014;Cantabria;12.158;20.747;11.468;14.137;16.382;9.824;18.42;82.0
2014;Cantabria;12.158;20.747;11.468;14.137;16.382;9.824;19.04;82.0
2014;Cantabria;12.158;20.747;11.468;14.137;16.382;9.824;19.26;82.0
2014;Cantabria;12.158;20.747;11.468;14.137;16.382;9.824;20.95;82.0
2014;CastillaLeon;51.384;20.694;12.097;15.08;17.387;10.406;20.28;79.0
2014;CastillaLeon;51.384;20.694;12.097;15.08;17.387;10.406;19.4;79.0
2014;CastillaLeon;51.384;20.694;12.097;15.08;17.387;10.406;21.17;79.0
2014;CastillaLeon;51.384;20.694;12.097;15.08;17.387;10.406;22.21;79.0
2014;CastillaLaMancha;36.137;17.48;9.97;12.824;14.836;8.545;28.5;78.0
2014;CastillaLaMancha;36.137;17.48;9.97;12.824;14.836;8.545;28.49;78.0
2014;CastillaLaMancha;36.137;17.48;9.97;12.824;14.836;8.545;28.69;78.0
2014;CastillaLaMancha;36.137;17.48;9.97;12.824;14.836;8.545;30.3;78.0
2014;Catalunya;197.0;26.551;13.847;18.104;20.374;12.205;19.88;94.0
2014;Catalunya;197.0;26.551;13.847;18.104;20.374;12.205;19.1;94.0
2014;Catalunya;197.0;26.551;13.847;18.104;20.374;12.205;20.22;94.0
2014;Catalunya;197.0;26.551;13.847;18.104;20.374;12.205;22.1;94.0
2014;Ceuta;1.447;17.123;10.091;13.758;15.923;8.712;32.46;95.0
2014;Ceuta;1.447;17.123;10.091;13.758;15.923;8.712;31.95;95.0
2014;Ceuta;1.447;17.123;10.091;13.758;15.923;8.712;31.4;95.0
2014;Ceuta;1.447;17.123;10.091;13.758;15.923;8.712;31.56;95.0
2014;ComunidadValenciana;97.256;19.641;10.685;13.446;15.576;9.144;23.48;100.0
2014;ComunidadValenciana;97.256;19.641;10.685;13.446;15.576;9.144;25.54;100.0
2014;ComunidadValenciana;97.256;19.641;10.685;13.446;15.576;9.144;26.19;100.0
2014;ComunidadValenciana;97.256;19.641;10.685;13.446;15.576;9.144;28.04;100.0
2014;Madrid;196.018;30.776;14.433;18.789;21.34;12.597;18.0;79.0
2014;Madrid;196.018;30.776;14.433;18.789;21.34;12.597;17.53;79.0
2014;Madrid;196.018;30.776;14.433;18.789;21.34;12.597;19.03;79.0
2014;Madrid;196.018;30.776;14.433;18.789;21.34;12.597;20.43;79.0
2014;Extremadura;17.565;16.053;9.203;11.345;13.391;7.729;29.96;68.0
2014;Extremadura;17.565;16.053;9.203;11.345;13.391;7.729;27.64;68.0
2014;Extremadura;17.565;16.053;9.203;11.345;13.391;7.729;29.43;68.0
2014;Extremadura;17.565;16.053;9.203;11.345;13.391;7.729;32.14;68.0
2014;Galicia;54.411;19.876;11.868;15.273;17.554;10.235;20.87;69.0
2014;Galicia;54.411;19.876;11.868;15.273;17.554;10.235;20.25;69.0
2014;Galicia;54.411;19.876;11.868;15.273;17.554;10.235;22.29;69.0
2014;Galicia;54.411;19.876;11.868;15.273;17.554;10.235;23.2;69.0
2014;Baleares;27.109;24.454;11.985;15.729;17.607;10.66;18.88;77.0
2014;Baleares;27.109;24.454;11.985;15.729;17.607;10.66;15.94;77.0
2014;Baleares;27.109;24.454;11.985;15.729;17.607;10.66;19.04;77.0
2014;Baleares;27.109;24.454;11.985;15.729;17.607;10.66;26.7;77.0
2014;LaRioja;7.738;24.586;12.838;16.09;18.432;11.12;17.17;69.0
2014;LaRioja;7.738;24.586;12.838;16.09;18.432;11.12;18.23;69.0
2014;LaRioja;7.738;24.586;12.838;16.09;18.432;11.12;17.66;69.0
2014;LaRioja;7.738;24.586;12.838;16.09;18.432;11.12;19.58;69.0
2014;Melilla;1.351;15.999;13.052;18.073;20.24;11.619;29.52;76.0
2014;Melilla;1.351;15.999;13.052;18.073;20.24;11.619;30.49;76.0
2014;Melilla;1.351;15.999;13.052;18.073;20.24;11.619;29.16;76.0
2014;Melilla;1.351;15.999;13.052;18.073;20.24;11.619;24.43;76.0
2014;Navarra;17.642;27.704;14.862;19.55;21.814;13.221;14.92;76.0
2014;Navarra;17.642;27.704;14.862;19.55;21.814;13.221;14.92;76.0
2014;Navarra;17.642;27.704;14.862;19.55;21.814;13.221;15.88;76.0
2014;Navarra;17.642;27.704;14.862;19.55;21.814;13.221;17.12;76.0
2014;PaisVasco;62.637;28.843;16.39;20.957;23.861;14.281;16.6;78.0
2014;PaisVasco;62.637;28.843;16.39;20.957;23.861;14.281;15.21;78.0
2014;PaisVasco;62.637;28.843;16.39;20.957;23.861;14.281;16.13;78.0
2014;PaisVasco;62.637;28.843;16.39;20.957;23.861;14.281;17.36;78.0
2014;Murcia;27.239;18.606;9.176;11.715;13.757;7.767;27.26;94.0
2014;Murcia;27.239;18.606;9.176;11.715;13.757;7.767;26.25;94.0
2014;Murcia;27.239;18.606;9.176;11.715;13.757;7.767;25.12;94.0
2014;Murcia;27.239;18.606;9.176;11.715;13.757;7.767;27.71;94.0
2015;Andalucia;146.406;17.458;9.456;11.862;14.031;7.942;29.83;71.0
2015;Andalucia;146.406;17.458;9.456;11.862;14.031;7.942;31.73;71.0
2015;Andalucia;146.406;17.458;9.456;11.862;14.031;7.942;30.98;71.0
2015;Andalucia;146.406;17.458;9.456;11.862;14.031;7.942;33.62;71.0
2015;Aragon;33.266;25.185;14.053;18.395;20.657;12.427;14.6;95.0
2015;Aragon;33.266;25.185;14.053;18.395;20.657;12.427;14.97;95.0
2015;Aragon;33.266;25.185;14.053;18.395;20.657;12.427;17.0;95.0
2015;Aragon;33.266;25.185;14.053;18.395;20.657;12.427;18.59;95.0
2015;Asturias;21.388;20.497;13.151;16.227;18.544;11.427;20.33;78.0
2015;Asturias;21.388;20.497;13.151;16.227;18.544;11.427;16.97;78.0
2015;Asturias;21.388;20.497;13.151;16.227;18.544;11.427;20.15;78.0
2015;Asturias;21.388;20.497;13.151;16.227;18.544;11.427;18.99;78.0
2015;Canarias;39.637;18.881;10.11;12.932;15.035;8.64;26.75;60.0
2015;Canarias;39.637;18.881;10.11;12.932;15.035;8.64;28.56;60.0
2015;Canarias;39.637;18.881;10.11;12.932;15.035;8.64;30.3;60.0
2015;Canarias;39.637;18.881;10.11;12.932;15.035;8.64;30.81;60.0
2015;Cantabria;12.444;21.329;12.147;15.159;17.404;10.494;17.71;72.0
2015;Cantabria;12.444;21.329;12.147;15.159;17.404;10.494;16.19;72.0
2015;Cantabria;12.444;21.329;12.147;15.159;17.404;10.494;18.15;72.0
2015;Cantabria;12.444;21.329;12.147;15.159;17.404;10.494;18.54;72.0
2015;CastillaLeon;53.183;21.6;12.303;15.284;17.65;10.57;17.58;73.0
2015;CastillaLeon;53.183;21.6;12.303;15.284;17.65;10.57;16.59;73.0
2015;CastillaLeon;53.183;21.6;12.303;15.284;17.65;10.57;18.49;73.0
2015;CastillaLeon;53.183;21.6;12.303;15.284;17.65;10.57;20.38;73.0
2015;CastillaLaMancha;37.998;18.499;9.922;12.725;14.746;8.498;24.97;76.0
2015;CastillaLaMancha;37.998;18.499;9.922;12.725;14.746;8.498;24.72;76.0
2015;CastillaLaMancha;37.998;18.499;9.922;12.725;14.746;8.498;27.0;76.0
2015;CastillaLaMancha;37.998;18.499;9.922;12.725;14.746;8.498;28.69;76.0
2015;Catalunya;206.434;27.806;13.813;18.236;20.364;12.283;17.73;82.0
2015;Catalunya;206.434;27.806;13.813;18.236;20.364;12.283;17.49;82.0
2015;Catalunya;206.434;27.806;13.813;18.236;20.364;12.283;19.1;82.0
2015;Catalunya;206.434;27.806;13.813;18.236;20.364;12.283;20.05;82.0
2015;Ceuta;1.498;17.757;9.877;13.362;15.489;8.512;23.25;70.0
2015;Ceuta;1.498;17.757;9.877;13.362;15.489;8.512;30.59;70.0
2015;Ceuta;1.498;17.757;9.877;13.362;15.489;8.512;24.59;70.0
2015;Ceuta;1.498;17.757;9.877;13.362;15.489;8.512;31.76;70.0
2015;ComunidadValenciana;101.214;20.5;10.617;13.305;15.407;9.098;21.45;95.0
2015;ComunidadValenciana;101.214;20.5;10.617;13.305;15.407;9.098;22.37;95.0
2015;ComunidadValenciana;101.214;20.5;10.617;13.305;15.407;9.098;23.02;95.0
2015;ComunidadValenciana;101.214;20.5;10.617;13.305;15.407;9.098;24.28;95.0
2015;Madrid;206.232;32.275;14.191;18.593;20.92;12.534;16.51;75.0
2015;Madrid;206.232;32.275;14.191;18.593;20.92;12.534;16.27;75.0
2015;Madrid;206.232;32.275;14.191;18.593;20.92;12.534;17.66;75.0
2015;Madrid;206.232;32.275;14.191;18.593;20.92;12.534;17.79;75.0
2015;Extremadura;18.495;16.993;9.977;12.421;14.512;8.469;28.07;65.0
2015;Extremadura;18.495;16.993;9.977;12.421;14.512;8.469;28.51;65.0
2015;Extremadura;18.495;16.993;9.977;12.421;14.512;8.469;29.56;65.0
2015;Extremadura;18.495;16.993;9.977;12.421;14.512;8.469;30.24;65.0
2015;Galicia;57.011;20.934;11.81;15.133;17.355;10.212;17.74;70.0
2015;Galicia;57.011;20.934;11.81;15.133;17.355;10.212;17.66;70.0
2015;Galicia;57.011;20.934;11.81;15.133;17.355;10.212;20.0;70.0
2015;Galicia;57.011;20.934;11.81;15.133;17.355;10.212;21.83;70.0
2015;Baleares;28.654;25.732;12.201;15.894;17.848;10.828;17.02;71.0
2015;Baleares;28.654;25.732;12.201;15.894;17.848;10.828;13.88;71.0
2015;Baleares;28.654;25.732;12.201;15.894;17.848;10.828;16.45;71.0
2015;Baleares;28.654;25.732;12.201;15.894;17.848;10.828;22.29;71.0
2015;LaRioja;8.033;25.594;12.741;16.295;18.514;11.132;13.97;69.0
2015;LaRioja;8.033;25.594;12.741;16.295;18.514;11.132;13.59;69.0
2015;LaRioja;8.033;25.594;12.741;16.295;18.514;11.132;16.39;69.0
2015;LaRioja;8.033;25.594;12.741;16.295;18.514;11.132;17.58;69.0
2015;Melilla;1.408;16.506;11.357;15.937;17.981;10.027;32.64;100.0
2015;Melilla;1.408;16.506;11.357;15.937;17.981;10.027;31.4;100.0
2015;Melilla;1.408;16.506;11.357;15.937;17.981;10.027;36.35;100.0
2015;Melilla;1.408;16.506;11.357;15.937;17.981;10.027;35.4;100.0
2015;Navarra;18.334;28.761;14.929;19.715;21.979;13.3;13.53;76.0
2015;Navarra;18.334;28.761;14.929;19.715;21.979;13.3;13.57;76.0
2015;Navarra;18.334;28.761;14.929;19.715;21.979;13.3;12.55;76.0
2015;Navarra;18.334;28.761;14.929;19.715;21.979;13.3;15.66;76.0
2015;PaisVasco;65.073;29.962;15.793;20.264;22.97;13.836;12.89;77.0
2015;PaisVasco;65.073;29.962;15.793;20.264;22.97;13.836;13.76;77.0
2015;PaisVasco;65.073;29.962;15.793;20.264;22.97;13.836;15.98;77.0
2015;PaisVasco;65.073;29.962;15.793;20.264;22.97;13.836;16.43;77.0
2015;Murcia;29.169;19.901;9.353;11.993;14.048;7.924;23.51;79.0
2015;Murcia;29.169;19.901;9.353;11.993;14.048;7.924;23.49;79.0
2015;Murcia;29.169;19.901;9.353;11.993;14.048;7.924;24.77;79.0
2015;Murcia;29.169;19.901;9.353;11.993;14.048;7.924;26.69;79.0
2016;Andalucia;149.902;17.865;9.978;12.56;14.825;8.398;28.25;68.0
2016;Andalucia;149.902;17.865;9.978;12.56;14.825;8.398;28.52;68.0
2016;Andalucia;149.902;17.865;9.978;12.56;14.825;8.398;29.07;68.0
2016;Andalucia;149.902;17.865;9.978;12.56;14.825;8.398;29.7;68.0
2016;Aragon;34.542;26.243;13.392;17.116;19.523;11.649;13.53;100.0
2016;Aragon;34.542;26.243;13.392;17.116;19.523;11.649;14.88;100.0
2016;Aragon;34.542;26.243;13.392;17.116;19.523;11.649;15.27;100.0
2016;Aragon;34.542;26.243;13.392;17.116;19.523;11.649;15.28;100.0
2016;Asturias;21.675;20.913;13.863;17.241;19.659;12.06;14.59;60.0
2016;Asturias;21.675;20.913;13.863;17.241;19.659;12.06;17.05;60.0
2016;Asturias;21.675;20.913;13.863;17.241;19.659;12.06;19.29;60.0
2016;Asturias;21.675;20.913;13.863;17.241;19.659;12.06;19.5;60.0
2016;Canarias;40.98;19.45;10.313;12.993;15.282;8.702;24.9;59.0
2016;Canarias;40.98;19.45;10.313;12.993;15.282;8.702;26.01;59.0
2016;Canarias;40.98;19.45;10.313;12.993;15.282;8.702;27.33;59.0
2016;Canarias;40.98;19.45;10.313;12.993;15.282;8.702;26.0;59.0
2016;Cantabria;12.834;22.072;12.398;15.484;17.859;10.67;12.89;66.0
2016;Cantabria;12.834;22.072;12.398;15.484;17.859;10.67;12.53;66.0
2016;Cantabria;12.834;22.072;12.398;15.484;17.859;10.67;15.31;66.0
2016;Cantabria;12.834;22.072;12.398;15.484;17.859;10.67;18.9;66.0
2016;CastillaLeon;54.631;22.369;12.545;15.645;18.003;10.815;14.81;69.0
2016;CastillaLeon;54.631;22.369;12.545;15.645;18.003;10.815;13.91;69.0
2016;CastillaLeon;54.631;22.369;12.545;15.645;18.003;10.815;16.25;69.0
2016;CastillaLeon;54.631;22.369;12.545;15.645;18.003;10.815;18.33;69.0
2016;CastillaLaMancha;39.136;19.149;10.175;13.106;15.148;8.731;22.14;76.0
2016;CastillaLaMancha;39.136;19.149;10.175;13.106;15.148;8.731;22.67;76.0
2016;CastillaLaMancha;39.136;19.149;10.175;13.106;15.148;8.731;23.93;76.0
2016;CastillaLaMancha;39.136;19.149;10.175;13.106;15.148;8.731;25.45;76.0
2016;Catalunya;214.503;28.781;14.299;18.828;21.108;12.66;14.85;75.0
2016;Catalunya;214.503;28.781;14.299;18.828;21.108;12.66;14.63;75.0
2016;Catalunya;214.503;28.781;14.299;18.828;21.108;12.66;15.95;75.0
2016;Catalunya;214.503;28.781;14.299;18.828;21.108;12.66;17.42;75.0
2016;Ceuta;1.537;18.155;10.918;14.858;17.124;9.435;22.39;75.0
2016;Ceuta;1.537;18.155;10.918;14.858;17.124;9.435;24.64;75.0
2016;Ceuta;1.537;18.155;10.918;14.858;17.124;9.435;26.28;75.0
2016;Ceuta;1.537;18.155;10.918;14.858;17.124;9.435;26.21;75.0
2016;ComunidadValenciana;104.205;21.11;10.809;13.589;15.731;9.265;19.15;92.0
2016;ComunidadValenciana;104.205;21.11;10.809;13.589;15.731;9.265;20.17;92.0
2016;ComunidadValenciana;104.205;21.11;10.809;13.589;15.731;9.265;21.3;92.0
2016;ComunidadValenciana;104.205;21.11;10.809;13.589;15.731;9.265;21.84;92.0
2016;Madrid;214.469;33.35;14.343;18.709;21.076;12.647;14.6;76.0
2016;Madrid;214.469;33.35;14.343;18.709;21.076;12.647;15.19;76.0
2016;Madrid;214.469;33.35;14.343;18.709;21.076;12.647;16.25;76.0
2016;Madrid;214.469;33.35;14.343;18.709;21.076;12.647;16.81;76.0
2016;Extremadura;19.069;17.616;10.176;12.775;14.859;8.674;28.31;62.0
2016;Extremadura;19.069;17.616;10.176;12.775;14.859;8.674;25.61;62.0
2016;Extremadura;19.069;17.616;10.176;12.775;14.859;8.674;27.01;62.0
2016;Extremadura;19.069;17.616;10.176;12.775;14.859;8.674;29.13;62.0
2016;Galicia;58.564;21.594;12.1;15.428;17.756;10.439;16.29;60.0
2016;Galicia;58.564;21.594;12.1;15.428;17.756;10.439;16.35;60.0
2016;Galicia;58.564;21.594;12.1;15.428;17.756;10.439;17.74;60.0
2016;Galicia;58.564;21.594;12.1;15.428;17.756;10.439;18.24;60.0
2016;Baleares;30.233;26.922;13.763;17.894;20.067;12.222;13.8;65.0
2016;Baleares;30.233;26.922;13.763;17.894;20.067;12.222;10.6;65.0
2016;Baleares;30.233;26.922;13.763;17.894;20.067;12.222;13.02;65.0
2016;Baleares;30.233;26.922;13.763;17.894;20.067;12.222;18.41;65.0
2016;LaRioja;8.074;25.713;13.221;16.933;19.172;11.589;10.9;58.0
2016;LaRioja;8.074;25.713;13.221;16.933;19.172;11.589;13.57;58.0
2016;LaRioja;8.074;25.713;13.221;16.933;19.172;11.589;15.29;58.0
2016;LaRioja;8.074;25.713;13.221;16.933;19.172;11.589;14.38;58.0
2016;Melilla;1.453;16.979;12.256;17.349;19.482;10.883;27.38;69.0
2016;Melilla;1.453;16.979;12.256;17.349;19.482;10.883;31.22;69.0
2016;Melilla;1.453;16.979;12.256;17.349;19.482;10.883;33.84;69.0
2016;Melilla;1.453;16.979;12.256;17.349;19.482;10.883;30.67;69.0
2016;Navarra;18.911;29.556;15.165;19.697;22.123;13.408;10.01;71.0
2016;Navarra;18.911;29.556;15.165;19.697;22.123;13.408;12.41;71.0
2016;Navarra;18.911;29.556;15.165;19.697;22.123;13.408;13.27;71.0
2016;Navarra;18.911;29.556;15.165;19.697;22.123;13.408;14.25;71.0
2016;PaisVasco;67.115;30.833;16.411;21.058;23.911;14.345;12.27;77.0
2016;PaisVasco;67.115;30.833;16.411;21.058;23.911;14.345;12.8;77.0
2016;PaisVasco;67.115;30.833;16.411;21.058;23.911;14.345;12.5;77.0
2016;PaisVasco;67.115;30.833;16.411;21.058;23.911;14.345;12.8;77.0
2016;Murcia;30.009;20.402;9.726;12.635;14.733;8.273;18.58;77.0
2016;Murcia;30.009;20.402;9.726;12.635;14.733;8.273;19.75;77.0
2016;Murcia;30.009;20.402;9.726;12.635;14.733;8.273;18.7;77.0
2016;Murcia;30.009;20.402;9.726;12.635;14.733;8.273;22.1;77.0
2017;Andalucia;156.789;18.691;10.831;13.709;16.16;9.116;24.43;79.0
2017;Andalucia;156.789;18.691;10.831;13.709;16.16;9.116;25.41;79.0
2017;Andalucia;156.789;18.691;10.831;13.709;16.16;9.116;25.24;79.0
2017;Andalucia;156.789;18.691;10.831;13.709;16.16;9.116;26.94;79.0
2017;Aragon;35.984;27.357;13.912;17.756;20.246;12.11;11.37;92.0
2017;Aragon;35.984;27.357;13.912;17.756;20.246;12.11;10.5;92.0
2017;Aragon;35.984;27.357;13.912;17.756;20.246;12.11;11.39;92.0
2017;Aragon;35.984;27.357;13.912;17.756;20.246;12.11;13.32;92.0
2017;Asturias;22.538;21.897;14.157;17.547;20.162;12.244;14.64;66.0
2017;Asturias;22.538;21.897;14.157;17.547;20.162;12.244;12.95;66.0
2017;Asturias;22.538;21.897;14.157;17.547;20.162;12.244;13.03;66.0
2017;Asturias;22.538;21.897;14.157;17.547;20.162;12.244;14.23;66.0
2017;Canarias;43.036;20.296;10.54;13.161;15.563;8.863;22.04;63.0
2017;Canarias;43.036;20.296;10.54;13.161;15.563;8.863;21.87;63.0
2017;Canarias;43.036;20.296;10.54;13.161;15.563;8.863;24.3;63.0
2017;Canarias;43.036;20.296;10.54;13.161;15.563;8.863;25.68;63.0
